symbol,timeframe,r1,r2,strategy_name,start_time,end_time,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,profit_factor,total_trades,winning_trades,losing_trades,avg_win,avg_loss,final_capital
BTCUSDT,1d,19,93,RSI_R1_19_R2_93,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,19,94,RSI_R1_19_R2_94,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,19,95,RSI_R1_19_R2_95,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,19,96,RSI_R1_19_R2_96,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,19,97,RSI_R1_19_R2_97,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,19,98,RSI_R1_19_R2_98,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,19,99,RSI_R1_19_R2_99,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,19,100,RSI_R1_19_R2_100,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.08353924189891258,-0.11092661375111035,-0.24539201061523866,-0.29056811489872036,0.6666666666666666,0.5936759900332013,3,2,1,0.07280330050546058,-0.2017158561539264,9164.607581010874
BTCUSDT,1d,20,60,RSI_R1_20_R2_60,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.19734221171146146,-0.2564204380453535,-0.29740169003416667,-0.8649371620055549,0.5,0.40616729457060224,4,2,2,0.08565841988754963,-0.17429755909057804,8026.577882885385
BTCUSDT,1d,20,61,RSI_R1_20_R2_61,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.15254854579119964,-0.19995544304950064,-0.29740169003416667,-0.6024055778026239,0.5,0.5409582426847442,4,2,2,0.11617705279454626,-0.17429755909057804,8474.514542088004
